match_id,radiant_win_lr_proba,radiant_win_gb_proba
2320,0.63,0.63
2325,0.53,0.55
2329,0.87,0.8
2342,0.65,0.63
2352,0.2,0.25
2387,0.71,0.77
2397,0.2,0.27
2399,0.69,0.65
2401,0.64,0.72
2404,0.29,0.37
2411,0.7,0.37
2424,0.75,0.63
2425,0.22,0.45
2429,0.16,0.19
2433,0.53,0.59
2434,0.68,0.69
2436,0.09,0.15
2440,0.11,0.11
2458,0.66,0.52
2460,0.34,0.54
2466,0.6,0.68
2473,0.42,0.47
2479,0.28,0.19
2493,0.19,0.18
2504,0.18,0.32
2524,0.76,0.72
2526,0.98,0.94
2531,0.31,0.37
2532,0.07,0.11
2546,0.52,0.67
2561,0.84,0.86
2565,0.17,0.26
2570,0.6,0.5
2579,0.65,0.45
2581,0.21,0.19
2592,0.75,0.48
2593,0.38,0.41
2594,0.3,0.56
2618,0.8,0.69
2628,0.39,0.38
2638,0.41,0.46
2647,0.62,0.51
2654,0.71,0.49
2655,0.58,0.6
2669,0.21,0.16
2674,0.57,0.38
2677,0.66,0.65
2687,0.38,0.35
2689,0.25,0.26
2694,0.67,0.44
2702,0.3,0.45
2704,0.92,0.82
2706,0.9,0.62
2712,0.09,0.26
2716,0.48,0.5
2727,0.27,0.49
2729,0.35,0.25
2738,0.82,0.77
2739,0.24,0.41
2745,0.79,0.58
2759,0.72,0.72
2766,0.7,0.71
2767,0.4,0.44
2773,0.22,0.44
2778,0.65,0.45
2788,0.63,0.65
2792,0.6,0.64
2803,0.45,0.65
2808,0.15,0.29
2816,0.33,0.43
2821,0.95,0.87
2826,0.84,0.63
2840,0.46,0.43
2844,0.79,0.43
2846,0.31,0.31
2847,0.42,0.58
2857,0.74,0.61
2861,0.18,0.4
2888,0.59,0.63
2903,0.67,0.82
2904,0.37,0.4
2907,0.21,0.27
2909,0.28,0.38
2910,0.43,0.3
2915,0.5,0.62
2918,0.69,0.48
2920,0.48,0.5
2929,0.93,0.86
2947,0.6,0.73
2950,0.68,0.62
2952,0.43,0.23
2953,0.39,0.52
2956,0.31,0.3
2961,0.54,0.33
2962,0.95,0.82
2967,0.25,0.42
2973,0.62,0.56
2974,0.46,0.4
2981,0.58,0.35
3001,0.27,0.42
3006,0.09,0.24
3007,0.71,0.73
3008,0.63,0.58
3014,0.52,0.57
3022,0.51,0.49
3032,0.51,0.53
3033,0.87,0.83
3043,0.5,0.42
3048,0.15,0.21
3061,0.28,0.33
3063,0.35,0.35
3087,0.52,0.71
3088,0.47,0.54
3096,0.07,0.14
3102,0.12,0.14
3111,0.63,0.55
3119,0.72,0.6
3122,0.62,0.63
3126,0.68,0.59
3131,0.4,0.57
3132,0.38,0.31
3145,0.87,0.85
3154,0.65,0.74
3178,0.59,0.52
3187,0.5,0.56
3189,0.41,0.59
3192,0.95,0.88
3199,0.41,0.34
3211,0.48,0.54
3224,0.43,0.41
3225,0.46,0.73
3231,0.53,0.47
3237,0.64,0.49
3240,0.13,0.18
3242,0.58,0.4
3254,0.81,0.6
3257,0.43,0.41
3289,0.55,0.59
3294,0.39,0.48
3301,0.43,0.62
3302,0.34,0.38
3314,0.36,0.6
3326,0.57,0.47
3332,0.77,0.6
3345,0.58,0.67
3349,0.69,0.69
3357,0.8,0.87
3380,0.47,0.51
3389,0.69,0.48
3397,0.91,0.83
3399,0.58,0.78
3407,0.85,0.73
3411,0.28,0.5
3413,0.55,0.53
3417,0.28,0.43
3418,0.06,0.09
3426,0.82,0.84
3443,0.13,0.27
3456,0.89,0.75
3464,0.79,0.78
3467,0.73,0.44
3473,0.63,0.68
3479,0.08,0.24
3481,0.84,0.73
3492,0.56,0.42
3498,0.92,0.88
3499,0.42,0.48
3529,0.41,0.5
3535,0.41,0.69
3561,0.72,0.28
3574,0.52,0.38
3590,0.77,0.75
3592,0.28,0.28
3596,0.9,0.89
3604,0.2,0.35
3620,0.73,0.75
3623,0.25,0.38
3632,0.77,0.71
3641,0.32,0.23
3647,0.21,0.31
3653,0.12,0.32
3656,0.42,0.61
3667,0.69,0.42
3672,0.44,0.43
3683,0.66,0.63
3695,0.47,0.5
3717,0.5,0.52
3736,0.3,0.23
3740,0.31,0.42
3753,0.45,0.52
3769,0.62,0.66
3771,0.57,0.67
3787,0.9,0.8
3790,0.4,0.46
3792,0.83,0.77
3801,0.27,0.29
3806,0.75,0.79
3812,0.06,0.14
3815,0.84,0.75
3840,0.75,0.68
3846,0.52,0.5
3858,0.52,0.51
3872,0.27,0.34
3873,0.2,0.26
3874,0.59,0.6
3876,0.85,0.83
3880,0.6,0.52
3882,0.42,0.36
3894,0.67,0.75
3902,0.74,0.76
3908,0.8,0.57
3919,0.26,0.45
3921,0.23,0.15
3922,0.36,0.42
3924,0.06,0.09
3939,0.85,0.77
3952,0.45,0.49
3959,0.43,0.44
3964,0.21,0.27
3972,0.7,0.72
3978,0.92,0.89
3979,0.51,0.6
3988,0.05,0.11
3989,0.84,0.8
3991,0.73,0.65
3996,0.93,0.79
4005,0.27,0.34
4012,0.47,0.41
4013,0.34,0.33
4018,0.46,0.7
4030,0.23,0.22
4035,0.4,0.25
4046,0.84,0.86
4059,0.29,0.35
4066,0.39,0.44
4082,0.54,0.61
4090,0.75,0.58
4100,0.92,0.88
4121,0.47,0.52
4123,0.31,0.54
4124,0.78,0.72
4129,0.9,0.91
4136,0.51,0.54
4139,0.43,0.5
4145,0.56,0.72
4161,0.38,0.43
4165,0.54,0.48
4169,0.45,0.38
4188,0.69,0.54
4195,0.41,0.32
4204,0.92,0.62
4211,0.77,0.66
4213,0.68,0.73
4218,0.37,0.48
4222,0.04,0.12
4227,0.6,0.57
4229,0.92,0.66
4233,0.49,0.39
4239,0.82,0.77
4242,0.53,0.57
4249,0.65,0.71
4260,0.87,0.79
4263,0.8,0.79
4265,0.71,0.55
4267,0.48,0.42
4276,0.92,0.93
4278,0.66,0.59
4280,0.05,0.08
4281,0.37,0.26
4282,0.76,0.82
4288,0.14,0.28
4306,0.46,0.36
4308,0.27,0.24
4309,0.42,0.42
4313,0.51,0.37
4320,1.0,0.96
4324,0.41,0.44
4334,0.67,0.74
4341,0.42,0.54
4349,0.2,0.16
4353,0.63,0.62
4354,0.52,0.7
4356,0.27,0.23
4366,0.4,0.24
4371,0.69,0.57
4375,0.42,0.43
4377,0.84,0.6
4384,0.18,0.31
4389,0.36,0.63
4394,0.45,0.53
4409,0.53,0.5
4411,0.63,0.57
4416,0.38,0.35
4437,0.47,0.24
4443,0.41,0.44
4449,0.38,0.54
4457,0.38,0.32
4459,0.53,0.52
4472,0.24,0.45
4475,0.69,0.63
4476,0.82,0.88
4482,0.49,0.32
4519,0.04,0.15
4533,0.68,0.52
4537,0.14,0.26
4538,0.27,0.54
4541,0.31,0.34
4558,0.69,0.73
4567,0.68,0.78
4586,0.34,0.37
4596,0.62,0.73
4615,0.77,0.61
4617,0.3,0.31
4619,0.37,0.17
4623,0.14,0.13
4643,0.35,0.48
4644,0.08,0.17
4645,0.53,0.53
4655,0.07,0.17
4658,0.78,0.64
4667,0.08,0.08
4669,0.5,0.54
4674,0.39,0.31
4691,0.11,0.32
4704,0.52,0.61
4708,0.75,0.57
4733,0.91,0.88
4745,0.14,0.24
4748,0.24,0.4
4749,0.26,0.26
4755,0.46,0.52
4760,0.58,0.5
4762,0.47,0.7
4763,0.39,0.49
4771,0.71,0.4
4772,0.65,0.63
4782,0.9,0.76
4786,0.13,0.34
4792,0.58,0.67
4798,0.54,0.46
4803,0.15,0.27
4817,0.7,0.51
4818,0.55,0.37
4825,0.07,0.14
4832,0.12,0.39
4834,0.74,0.79
4836,0.16,0.29
4852,0.14,0.35
4853,0.41,0.5
4858,0.14,0.27
4862,0.59,0.7
4888,0.29,0.64
4889,0.81,0.67
4893,0.48,0.63
4897,0.85,0.64
4952,0.53,0.67
4961,0.52,0.49
4969,0.81,0.7
4972,0.46,0.57
5029,0.82,0.67
5031,0.37,0.22
5041,0.25,0.4
5044,0.44,0.41
5045,0.55,0.62
5047,0.26,0.51
5050,0.96,0.93
5051,0.17,0.49
5056,0.39,0.46
5060,0.65,0.82
5061,0.87,0.84
5064,0.45,0.53
5073,0.53,0.55
5074,0.9,0.67
5077,0.09,0.08
5099,0.39,0.61
5120,0.87,0.84
5125,0.66,0.52
5137,0.13,0.24
5146,0.66,0.69
5148,0.62,0.81
5155,0.3,0.26
5178,0.24,0.54
5187,0.91,0.72
5188,0.49,0.44
5198,0.19,0.24
5205,0.23,0.29
5210,0.24,0.41
5212,0.36,0.57
5214,0.26,0.12
5215,0.49,0.63
5217,0.13,0.27
5219,0.02,0.04
5227,0.33,0.39
5233,0.82,0.69
5241,0.54,0.43
5257,0.66,0.59
5259,0.31,0.28
5262,0.28,0.5
5275,0.53,0.27
5291,0.6,0.75
5299,0.43,0.5
5302,0.49,0.59
5304,0.64,0.74
5310,0.38,0.49
5325,0.2,0.3
5332,0.66,0.66
5341,0.36,0.51
5343,0.6,0.64
5350,0.36,0.25
5365,0.79,0.72
5367,0.43,0.3
5372,0.2,0.36
5385,0.46,0.32
5392,0.36,0.43
5399,0.27,0.38
5402,0.89,0.78
5407,0.64,0.38
5411,0.52,0.64
5415,0.61,0.73
5423,0.58,0.72
5426,0.16,0.2
5437,0.57,0.69
5440,0.3,0.49
5445,0.74,0.67
5454,0.22,0.29
5460,0.81,0.78
5470,0.7,0.69
5472,0.24,0.28
5484,0.03,0.09
5485,0.93,0.88
5497,0.73,0.66
5501,0.68,0.7
5513,0.57,0.54
5563,0.32,0.38
5564,0.43,0.61
5570,0.62,0.41
5582,0.32,0.55
5616,0.59,0.77
5617,0.53,0.47
5619,0.38,0.29
5626,0.61,0.48
5628,0.2,0.35
5629,0.53,0.66
5630,0.39,0.41
5634,0.31,0.34
5646,0.17,0.42
5650,0.43,0.29
5664,0.93,0.83
5666,0.83,0.68
5687,0.24,0.34
5691,0.7,0.72
5694,0.58,0.72
5703,0.34,0.43
5709,0.2,0.31
5711,0.19,0.4
5718,0.45,0.45
5724,0.78,0.65
5725,0.27,0.47
5726,0.32,0.36
5728,0.82,0.85
5753,0.69,0.6
5758,0.2,0.22
5766,0.26,0.41
5772,0.3,0.4
5775,0.28,0.42
5780,0.8,0.6
5782,0.61,0.68
5784,0.6,0.46
5804,0.66,0.56
5808,0.82,0.76
5809,0.41,0.51
5815,0.43,0.41
5817,0.6,0.48
5825,0.47,0.32
5833,0.57,0.57
5838,0.35,0.68
5840,0.53,0.41
5846,0.61,0.52
5848,0.53,0.75
5851,0.83,0.68
5867,0.32,0.42
5869,0.46,0.53
5870,0.38,0.29
5871,0.7,0.47
5873,0.35,0.53
5875,0.35,0.54
5876,0.65,0.54
5879,0.89,0.85
5880,0.37,0.48
5881,0.18,0.26
5887,0.46,0.41
5891,0.6,0.71
5893,0.56,0.62
5907,0.77,0.77
5909,0.25,0.2
5915,0.05,0.14
5917,0.54,0.41
5918,0.14,0.17
5929,0.64,0.68
5935,0.76,0.74
5938,0.32,0.27
5940,0.42,0.48
5942,0.14,0.12
5950,0.6,0.5
5963,0.15,0.34
5968,0.54,0.51
5969,0.79,0.78
5970,0.4,0.44
5978,0.41,0.55
5987,0.78,0.7
5990,0.31,0.48
5997,0.88,0.66
5998,0.45,0.54
6001,0.43,0.37
6004,0.62,0.58
6005,0.26,0.22
6011,0.52,0.37
6013,0.71,0.73
6029,0.52,0.48
6043,0.39,0.5
6045,0.15,0.35
6049,0.23,0.28
6051,0.69,0.84
6064,0.54,0.59
6066,0.07,0.13
6071,0.87,0.72
6078,0.41,0.33
6085,0.29,0.32
6086,0.71,0.73
6095,0.33,0.43
6103,0.26,0.28
6105,0.3,0.52
6106,0.78,0.53
6107,0.42,0.49
6111,0.72,0.57
6114,0.8,0.8
6118,0.52,0.47
6139,0.09,0.13
6147,0.66,0.64
6153,0.83,0.76
6156,0.62,0.54
6158,0.35,0.28
6163,0.34,0.42
6165,0.51,0.64
6176,0.56,0.48
6178,0.6,0.52
6182,0.39,0.34
6199,0.17,0.3
6207,0.25,0.62
6220,0.47,0.53
6223,0.41,0.3
6227,0.25,0.33
6235,0.71,0.6
6246,0.57,0.44
6259,0.2,0.26
6267,0.66,0.77
6278,0.84,0.65
6287,0.92,0.84
6307,0.64,0.67
6312,0.86,0.73
6314,0.48,0.64
6315,0.45,0.3
6316,0.11,0.27
6321,0.57,0.42
6325,0.97,0.93
6332,0.7,0.83
6337,0.53,0.47
6341,0.7,0.82
6349,0.81,0.82
6362,0.7,0.57
6371,0.36,0.47
6386,0.19,0.38
6387,0.63,0.68
6388,0.71,0.66
6391,0.63,0.48
6410,0.34,0.34
6413,0.35,0.42
6421,0.42,0.52
6428,0.64,0.36
6429,0.52,0.51
6433,0.46,0.41
6438,0.53,0.65
6439,0.59,0.64
6442,0.69,0.43
6444,0.68,0.47
6451,0.76,0.75
6456,0.39,0.42
6461,0.83,0.77
6483,0.11,0.19
6488,0.42,0.35
6489,0.65,0.36
6498,0.9,0.85
6501,0.22,0.21
6505,0.56,0.46
6513,0.14,0.32
6515,0.5,0.66
6531,0.7,0.59
6562,0.42,0.3
6564,0.7,0.52
6572,0.84,0.83
6574,0.43,0.33
6586,0.75,0.56
6588,0.17,0.26
6601,0.57,0.55
6608,0.6,0.59
6611,0.13,0.18
6614,0.17,0.27
6617,0.32,0.35
6632,0.34,0.52
6642,0.42,0.59
6643,0.87,0.78
6660,0.53,0.4
6667,0.04,0.14
6671,0.11,0.24
6682,0.6,0.56
6699,0.8,0.64
6702,0.55,0.36
6703,0.94,0.88
6705,0.3,0.32
6707,0.37,0.35
6709,0.7,0.83
6718,0.2,0.29
6720,0.45,0.6
6721,0.42,0.52
6725,0.2,0.35
6726,0.46,0.56
6727,0.27,0.25
6760,0.4,0.51
6788,0.68,0.54
6791,0.37,0.28
6793,0.07,0.1
6794,0.29,0.52
6808,0.47,0.57
6809,0.81,0.87
6810,0.82,0.79
6820,0.85,0.83
6829,0.25,0.28
6833,0.97,0.84
6847,0.93,0.74
6856,0.71,0.67
6858,0.2,0.28
6866,0.52,0.73
6871,0.64,0.59
6872,0.45,0.5
6878,0.73,0.77
6879,0.49,0.39
6880,0.67,0.62
6886,0.8,0.76
6894,0.59,0.58
6897,0.27,0.41
6906,0.59,0.76
6919,0.71,0.61
6939,0.73,0.72
6958,0.86,0.75
6959,0.53,0.57
6967,0.83,0.68
6989,0.94,0.88
7000,0.53,0.33
7004,0.43,0.5
7006,0.75,0.83
7007,0.43,0.4
7027,0.74,0.77
7055,0.68,0.67
7059,0.71,0.39
7066,0.45,0.53
7067,0.57,0.57
7073,0.66,0.74
7080,0.6,0.54
7089,0.46,0.43
7099,0.11,0.16
7109,0.62,0.37
7134,0.58,0.58
7138,0.62,0.62
7139,0.44,0.44
7142,0.25,0.44
7151,0.36,0.4
7153,0.3,0.39
7169,0.3,0.42
7193,0.24,0.34
7200,0.92,0.84
7216,0.56,0.59
7221,0.86,0.74
7223,0.64,0.54
7236,0.68,0.71
7237,0.64,0.48
7244,0.34,0.34
7245,0.74,0.69
7251,0.36,0.26
7264,0.7,0.82
7284,0.45,0.43
7301,0.63,0.49
7304,0.62,0.6
7307,0.63,0.58
7308,0.43,0.51
7315,0.69,0.65
7323,0.3,0.32
7324,0.27,0.6
7326,0.52,0.41
7330,0.78,0.79
7367,0.76,0.63
7371,0.73,0.81
7389,0.59,0.45
7404,0.52,0.34
7410,0.32,0.51
7423,0.02,0.12
7434,0.31,0.34
7438,0.24,0.38
7449,0.31,0.29
7461,0.47,0.37
7464,0.71,0.73
7465,0.63,0.63
7469,0.62,0.57
7472,0.69,0.67
7492,0.16,0.21
7496,0.68,0.68
7499,0.69,0.62
7513,0.72,0.66
7535,0.74,0.65
7542,0.63,0.51
7568,0.6,0.65
7578,0.77,0.4
7587,0.4,0.42
7593,0.26,0.21
7608,0.76,0.76
7613,0.22,0.25
7617,0.47,0.57
7624,0.76,0.87
7627,0.67,0.51
7630,0.59,0.44
7634,0.29,0.22
7644,0.65,0.55
7651,0.37,0.67
7655,0.56,0.51
7659,0.51,0.37
7665,0.34,0.42
7666,0.88,0.76
7675,0.46,0.66
7678,0.22,0.33
7689,0.23,0.25
7696,0.33,0.61
7708,0.06,0.11
7725,0.79,0.58
7731,0.43,0.37
7737,0.2,0.41
7739,0.73,0.71
7758,0.61,0.68
7763,0.24,0.28
7769,0.52,0.47
7775,0.66,0.63
7783,0.39,0.47
7788,0.61,0.68
7792,0.66,0.6
7797,0.77,0.66
7798,0.61,0.76
7801,0.64,0.74
7806,0.59,0.43
7821,0.22,0.34
7829,0.65,0.62
7834,0.4,0.68
7835,0.37,0.26
7848,0.5,0.61
7849,0.12,0.36
7859,0.58,0.54
7861,0.66,0.6
7873,0.04,0.17
7874,0.72,0.45
7884,0.53,0.59
7890,0.84,0.76
7894,0.3,0.35
7895,0.2,0.43
7910,0.66,0.65
7913,0.78,0.58
7923,0.76,0.6
7929,0.72,0.72
7939,0.88,0.73
7950,0.49,0.51
7960,0.88,0.81
7968,0.83,0.75
7972,0.7,0.82
8001,0.63,0.66
8012,0.57,0.69
8018,0.1,0.17
8019,0.4,0.47
8038,0.83,0.74
8043,0.57,0.43
8054,0.13,0.15
8055,0.23,0.29
8056,0.17,0.34
8058,0.15,0.39
8064,0.13,0.28
8073,0.49,0.39
8077,0.54,0.52
8084,0.81,0.67
8086,0.38,0.49
8087,0.52,0.45
8090,0.56,0.58
8097,0.94,0.74
8100,0.64,0.76
8105,0.65,0.69
8110,0.41,0.38
8114,0.07,0.14
8116,0.36,0.43
8129,0.32,0.67
8138,0.12,0.19
8142,0.25,0.49
8148,0.85,0.7
8151,0.55,0.58
8161,0.58,0.58
8170,0.55,0.37
8181,0.59,0.75
8182,0.64,0.72
8185,0.39,0.32
8186,0.72,0.7
8196,0.55,0.42
8219,0.31,0.46
8230,0.68,0.71
8240,0.41,0.45
8241,0.14,0.21
8246,0.6,0.58
8251,0.18,0.14
8254,0.13,0.32
8258,0.1,0.16
8259,0.51,0.54
8264,0.79,0.84
8275,0.9,0.87
8277,0.18,0.32
8282,0.47,0.57
8283,0.72,0.7
8290,0.39,0.49
8310,0.33,0.42
8315,0.77,0.45
8319,0.2,0.3
8322,0.4,0.48
8328,0.33,0.53
8346,0.3,0.52
8355,0.54,0.61
8369,0.4,0.45
8376,0.45,0.46
8380,0.7,0.53
8381,0.26,0.38
8382,0.46,0.47
8392,0.61,0.46
8402,0.81,0.59
8410,0.33,0.44
8418,0.77,0.73
8427,0.51,0.37
8448,0.38,0.7
8457,0.51,0.4
8458,0.34,0.3
8465,0.89,0.79
8478,0.69,0.52
8496,0.19,0.24
8510,0.32,0.38
8512,0.82,0.65
8515,0.51,0.51
8518,0.44,0.57
8522,0.3,0.49
8527,0.54,0.62
8550,0.66,0.7
8558,0.47,0.42
8561,0.24,0.28
8562,0.46,0.32
8566,0.71,0.57
8569,0.5,0.48
8588,0.09,0.16
8592,0.07,0.13
8599,0.31,0.33
8604,0.54,0.51
8622,0.5,0.55
8623,0.19,0.26
8652,0.11,0.34
8661,0.88,0.84
8671,0.13,0.13
8679,0.48,0.33
8683,0.17,0.22
8710,0.5,0.57
8711,0.65,0.67
8712,0.5,0.52
8715,0.56,0.59
8718,0.88,0.79
8719,0.94,0.9
8720,0.54,0.5
8727,0.64,0.75
8732,0.7,0.82
8738,0.31,0.35
8739,0.83,0.58
8748,0.22,0.17
8753,0.7,0.74
8754,0.5,0.39
8756,0.59,0.59
8759,0.92,0.86
8768,0.91,0.84
8780,0.86,0.72
8787,0.64,0.56
8789,0.75,0.7
8794,0.57,0.59
8802,0.77,0.41
8816,0.66,0.57
8831,0.64,0.55
8833,0.24,0.48
8846,0.83,0.84
8849,0.43,0.42
8850,0.82,0.67
8864,0.53,0.65
8872,0.83,0.8
8875,0.29,0.23
8900,0.5,0.71
8923,0.35,0.37
8939,0.8,0.6
8951,0.41,0.66
8958,0.27,0.58
8960,0.84,0.69
8978,0.55,0.52
8980,0.18,0.36
8989,0.63,0.64
8991,0.86,0.85
8997,0.28,0.37
9001,0.86,0.77
9009,0.19,0.17
9016,0.28,0.22
9025,0.77,0.53
9031,0.24,0.39
9032,0.68,0.5
9041,0.6,0.61
9043,0.77,0.69
9048,0.57,0.55
9050,0.44,0.37
9055,0.63,0.61
9057,0.35,0.27
9065,0.73,0.77
9066,0.66,0.68
9067,0.24,0.22
9069,0.22,0.27
9071,0.47,0.53
9075,0.22,0.49
9077,0.14,0.28
9086,0.32,0.38
9087,0.83,0.86
9100,0.52,0.5
9101,0.28,0.27
9105,0.6,0.34
9113,0.52,0.67
9115,0.38,0.65
9117,0.44,0.42
9122,0.4,0.39
9123,0.31,0.32
